"A","ALIMENTARY TRACT AND METABOLISM","VOIES DIGESTIVES ET METABOLISME","ALIMENTÄRES SYSTEM UND STOFFWECHSEL"
"N05BD01","BENZOCTAMINE","BENZOCTAMINE","BENZOCTAMIN"
"N05BE","AZASPIRODECANEDIONE DERIVATIVES","DERIVES DE L'AZASPIRODECANEDIONE","AZASPIRODECANDION-DERIVATE"
"N05BE01","BUSPIRONE","BUSPIRONE","BUSPIRON"
"N05BX","OTHER ANXIOLYTICS","AUTRES ANXIOLYTIQUES","ANDERE ANXIOLYTIKA"
"N05BX01","MEPHENOXALONE","MEPHENOXALONE","MEPHENOXALON"
"N05BX02","GEDOCARNIL","GEDOCARNIL","GEDOCARNIL"
"N05BX03","ETIFOXINE","ETIFOXINE","ETIFOXIN"
"N05C","HYPNOTICS AND SEDATIVES","HYPNOTIQUES ET SEDATIFS","HYPNOTIKA UND SEDATIVA"
"N05CA","BARBITURATES, PLAIN","BARBITURIQUES NON ASSOCIES","BARBITURATE, REIN"
"N05CA01","PENTOBARBITAL","PENTOBARBITAL","PENTOBARBITAL"
"N05CA02","AMOBARBITAL","AMOBARBITAL","AMOBARBITAL"
"N05CA03","BUTOBARBITAL","BUTOBARBITAL","BUTOBARBITAL"
"N05CA04","BARBITAL","BARBITAL","BARBITAL"
"N05CA05","APROBARBITAL","APROBARBITAL","APROBARBITAL"
"N05CA06","SECOBARBITAL","SECOBARBITAL","SECOBARBITAL"
"N05CA07","TALBUTAL","TALBUTAL","TALBUTAL"
"N05CA08","VINYLBITAL","VINYLBITAL","VINYLBITAL"
"N05CA09","VINBARBITAL","VINBARBITAL","VINBARBITAL"
"N05CA10","CYCLOBARBITAL","CYCLOBARBITAL","CYCLOBARBITAL"
"N05CA11","HEPTABARBITAL","HEPTABARBITAL","HEPTABARBITAL"
"N05CA12","REPOSAL","REPOSAL","REPOSAL"
"N05CA15","METHOHEXITAL","METHOHEXITAL","METHOHEXITAL"
"N05CA16","HEXOBARBITAL","HEXOBARBITAL","HEXOBARBITAL"
"N05CA19","THIOPENTAL","THIOPENTAL","THIOPENTAL"
"N05CA20","ETALLOBARBITAL","ETALLOBARBITAL","ETALLOBARBITAL"
"N05CA21","ALLOBARBITAL","ALLOBARBITAL","ALLOBARBITAL"
"N05CA22","PROXIBARBAL","PROXIBARBAL","PROXIBARBAL"
"N05CB","BARBITURATES, COMBINATIONS","BARBITURIQUES EN ASSOCIATION","BARBITURATE, KOMBINATIONEN"
"N05CB01","COMBINATIONS OF BARBITURATES","ASSOCIATIONS DE BARBITURIQUES","KOMBINATIONEN VON BARBITURATEN"
"N05CB02","BARBITURATES IN COMBINATION WITH OTHER DRUGS","BARBITURIQUES EN ASSOCIATION AVEC D'AUTRES SUBSTANCES","BARBITURATE IN KOMBINATION MIT ANDEREN MITTELN"
"N05CC","ALDEHYDES AND DERIVATIVES","ALDEHYDES ET DERIVES","ALDEHYDE UND DERIVATE"
"N05CC01","CHLORAL HYDRATE","CHLORAL HYDRATE","CHLORALHYDRAT"
"N05CC02","CHLORALODOL","CHLORALODOL","CHLORALODOL"
"N05CC03","ACETYLGLYCINAMIDE CHLORAL HYDRATE","ACETYLGLYCINAMIDE CHLORAL HYDRATE","ACETYLGLYCINAMIDCHLORALHYDRAT"
"N05CC04","DICHLORALPHENAZONE","DICHLORALPHENAZONE","DICHLORALPHENAZON"
"N05CC05","PARALDEHYDE","PARALDEHYDE","PARALDEHYD"
"N05CD","BENZODIAZEPINE DERIVATIVES","DERIVES DE LA BENZODIAZEPINE","BENZODIAZEPIN-DERIVATE"
"N05CD01","FLURAZEPAM","FLURAZEPAM","FLURAZEPAM"
"N05CD02","NITRAZEPAM","NITRAZEPAM","NITRAZEPAM"
"N05CD03","FLUNITRAZEPAM","FLUNITRAZEPAM","FLUNITRAZEPAM"
"N05CD04","ESTAZOLAM","ESTAZOLAM","ESTAZOLAM"
"N05CD05","TRIAZOLAM","TRIAZOLAM","TRIAZOLAM"
"N05CD06","LORMETAZEPAM","LORMETAZEPAM","LORMETAZEPAM"
"N05CD07","TEMAZEPAM","TEMAZEPAM","TEMAZEPAM"
"N05CD08","MIDAZOLAM","MIDAZOLAM","MIDAZOLAM"
"N05CD09","BROTIZOLAM","BROTIZOLAM","BROTIZOLAM"
"N05CD10","QUAZEPAM","QUAZEPAM","QUAZEPAM"
"N05CD11","LOPRAZOLAM","LOPRAZOLAM","LOPRAZOLAM"
"N05CD12","DOXEFAZEPAM","DOXEFAZEPAM","DOXEFAZEPAM"
"N05CD13","CINOLAZEPAM","CINOLAZEPAM","CINOLAZEPAM"
"N05CE","PIPERIDINEDIONE DERIVATIVES","DERIVES DE LA PIPERIDINEDIONE","PIPERIDINDION-DERIVATE"
"N05CE01","GLUTETHIMIDE","GLUTETHIMIDE","GLUTETHIMID"
"N05CE02","METHYPRYLON","METHYPRYLON","METHYPRYLON"
"N05CE03","PYRITHYLDIONE","PYRITHYLDIONE","PYRITHYLDION"
"N05CF","BENZODIAZEPINE RELATED DRUGS","MEDICAMENTS RELIES AUX BENZODIAZEPINES","BENZODIAZEPIN-VERWANDTE MITTEL"
"N05CF01","ZOPICLONE","ZOPICLONE","ZOPICLON"
"N05CF02","ZOLPIDEM","ZOLPIDEM","ZOLPIDEM"
"N05CF03","ZALEPLON","ZALEPLON","ZALEPLON"
"N05CH","MELATONIN RECEPTOR AGONISTS","AGONISTES DES RECEPTEURS DE LA MELATONINE","MELATONIN-REZEPTOR-ANTAGONISTEN"
"N05CH01","MELATONIN","MELATONINE","MELATONIN"
"N05CH02","RAMELTEON","RAMELTEON","RAMELTEON"
"N05CM","OTHER HYPNOTICS AND SEDATIVES","AUTRES HYPNOTIQUES ET SEDATIFS","ANDERE HYPNOTIKA UND SEDATIVA"
"N05CM01","METHAQUALONE","METHAQUALONE","METHAQUALON"
"N05CM02","CLOMETHIAZOLE","CLOMETHIAZOLE","CLOMETHIAZOL"
"N05CM03","BROMISOVAL","BROMISOVAL","BROMISOVAL"
"N05CM04","CARBROMAL","CARBROMAL","CARBROMAL"
"N05CM05","SCOPOLAMINE","SCOPOLAMINE","SCOPOLAMIN"
"N05CM06","PROPIOMAZINE","PROPIOMAZINE","PROPIOMAZIN"
"N05CM07","TRICLOFOS","TRICLOFOS","TRICLOFOS"
"N05CM08","ETHCHLORVYNOL","ETHCHLORVYNOL","ETHCHLORVYNOL"
"N05CM09","VALERIAN","VALERIANE","BALDRIAN"
"N05CM10","HEXAPROPYMATE","HEXAPROPYMATE","HEXAPROPYMATE"
"N05CM11","BROMIDES","BROMURES","BROMIDE"
"N05CM12","APRONAL","APRONAL","APRONAL"
"N05CM13","VALNOCTAMIDE","VALNOCTAMIDE","VALNOCTAMID"
"N05CM15","METHYLPENTYNOL","METHYLPENTYNOL","METHYLPENTYNOL"
"N05CM16","NIAPRAZINE","NIAPRAZINE","NIAPRAZIN"
"N05CX","HYPNOTICS AND SEDATIVES IN COMBINATION, EXCL. BARBITURATES","HYPNOTIQUES ET SEDATIFS EN ASSOCIATION, BARBITURIQUES EXCLUS","HYPNOTIKA UND SEDATIVA IN KOMBINATION, EXKL. BARBITURATE"
"N05CX01","MEPROBAMATE, COMBINATIONS","MEPROBAMATE EN ASSOCIATION","MEPROBAMAT, KOMBINATIONEN"
"N05CX02","METHAQUALONE, COMBINATIONS","METHAQUALONE EN ASSOCIATION","METHAQUALON, KOMBINATIONEN"
"N05CX03","METHYLPENTYNOL, COMBINATIONS","METHYLPENTYNOL EN ASSOCIATION","METHYLPENTYNOL, KOMBINATIONEN"
"N05CX04","CLOMETHIAZOLE, COMBINATIONS","CLOMETHIAZOLE EN ASSOCIATION","CLOMETHIAZOL, KOMBINATIONEN"
"N05CX05","EMEPRONIUM, COMBINATIONS","EMEPRONIUM EN ASSOCIATION","EMEPRONIUM, KOMBINATIONEN"
"N05CX06","DIPIPERONYLAMINOETHANOL, COMBINATIONS","DIPIPERONYLAMINOETHANOL EN ASSOCIATION","DIPIPERONYLAMINOETHANOL, KOMBINATIONEN"
"N06","PSYCHOANALEPTICS","PSYCHOANALEPTIQUES","PSYCHOANALEPTIKA"
"N06A","ANTIDEPRESSANTS","ANTIDEPRESSEURS","ANTIDEPRESSIVA"
"N06AA","NON-SELECTIVE MONOAMINE REUPTAKE INHIBITORS","INHIBITEURS NON SELECTIFS DE LA RECAPTURE DE LA MONOAMINE","NICHTSELEKTIVE MONOAMIN-WIEDERAUFNAHMEHEMMER"
"N06AA01","DESIPRAMINE","DESIPRAMINE","DESIPRAMIN"
"N06AA02","IMIPRAMINE","IMIPRAMINE","IMIPRAMIN"
"N06AA03","IMIPRAMINE OXIDE","IMIPRAMINE OXYDE","IMIPRAMINOXID"
"N06AA04","CLOMIPRAMINE","CLOMIPRAMINE","CLOMIPRAMIN"
"N06AA05","OPIPRAMOL","OPIPRAMOL","OPIPRAMOL"
"N06AA06","TRIMIPRAMINE","TRIMIPRAMINE","TRIMIPRAMIN"
"N06AA07","LOFEPRAMINE","LOFEPRAMINE","LOFEPRAMIN"
"N06AA08","DIBENZEPIN","DIBENZEPINE","DIBENZEPIN"
"N06AA09","AMITRIPTYLINE","AMITRIPTYLINE","AMITRIPTYLIN"
"N06AA10","NORTRIPTYLINE","NORTRIPTYLINE","NORTRIPTYLIN"
"N06AA11","PROTRIPTYLINE","PROTRIPTYLINE","PROTRIPTYLIN"
"N06AA12","DOXEPIN","DOXEPINE","DOXEPIN"
"N06AA13","IPRINDOLE","IPRINDOLE","IPRINDOL"
"N06AA14","MELITRACEN","MELITRACEN","MELITRACEN"
"N06AA15","BUTRIPTYLINE","BUTRIPTYLINE","BUTRIPTYLIN"
"N06AA16","DOSULEPIN","DOSULEPINE","DOSULEPIN"
"N06AA17","AMOXAPINE","AMOXAPINE","AMOXAPIN"
"N06AA18","DIMETACRINE","DIMETACRINE","DIMETACRIN"
"N06AA19","AMINEPTINE","AMINEPTINE","AMINEPTIN"
"N06AA21","MAPROTILINE","MAPROTILINE","MAPROTILIN"
"N06AA23","QUINUPRAMINE","QUINUPRAMINE","QUINUPRAMIN"
"N06AB","SELECTIVE SEROTONIN REUPTAKE INHIBITORS","INHIBITEURS SELECTIFS DE LA RECAPTURE DE LA SEROTONINE","SELEKTIVE SEROTONIN-WIEDERAUFNAHMEHEMMER"
"N06AB02","ZIMELDINE","ZIMELDINE","ZIMELDIN"
"N06AB03","FLUOXETINE","FLUOXETINE","FLUOXETIN"
"N06AB04","CITALOPRAM","CITALOPRAM","CITALOPRAM"
"N06AB05","PAROXETINE","PAROXETINE","PAROXETIN"
"N06AB06","SERTRALINE","SERTRALINE","SERTRALIN"
"N06AB07","ALAPROCLATE","ALAPROCLATE","ALAPROCLAT"
"N06AB08","FLUVOXAMINE","FLUVOXAMINE","FLUVOXAMIN"
"N06AB09","ETOPERIDONE","ETOPERIDONE","ETOPERIDON"
"N06AB10","ESCITALOPRAM","ESCITALOPRAM","ESCITALOPRAM"
"N06AF","MONOAMINE OXIDASE INHIBITORS, NON-SELECTIVE","INHIBITEURS DE LA MONOAMINE OXYDASE, NON SELECTIFS","MONOAMINOXIDASEHEMMER, NICHTSELEKTIV"
"N06AF01","ISOCARBOXAZID","ISOCARBOXAZIDE","ISOCARBOXAZID"
"N06AF02","NIALAMIDE","NIALAMIDE","NIALAMID"
"N06AF03","PHENELZINE","PHENELZINE","PHENELZIN"
"N06AF04","TRANYLCYPROMINE","TRANYLCYPROMINE","TRANYLCYPROMIN"
"N06AF05","IPRONIAZIDE","IPRONIAZIDE","IPRONIAZID"
"N06AF06","IPROCLOZIDE","IPROCLOZIDE","IPROCLOZID"
"N06AG","MONOAMINE OXIDASE A INHIBITORS","INHIBITEURS DE LA MONAMINE OXYDASE TYPE A","MONOAMINOXIDASE-A-HEMMER"
"N06AG02","MOCLOBEMIDE","MOCLOBEMIDE","MOCLOBEMID"
"N06AG03","TOLOXATONE","TOLOXATONE","TOLOXATON"
"N06AX","OTHER ANTIDEPRESSANTS","AUTRES ANTIDEPRESSEURS","ANDERE ANTIDEPRESSIVA"
"N06AX01","OXITRIPTAN","OXITRIPTAN","OXITRIPTAN"
"N06AX02","TRYPTOPHAN","TRYPTOPHAN","TRYPTOPHAN"
"N06AX03","MIANSERIN","MIANSERINE","MIANSERIN"
"N06AX04","NOMIFENSINE","NOMIFENSINE","NOMIFENSIN"
"N06AX05","TRAZODONE","TRAZODONE","TRAZODON"
"N06AX06","NEFAZODONE","NEFAZODONE","NEFAZODON"
"N06AX07","MINAPRINE","MINAPRINE","MINAPRIN"
"N06AX08","BIFEMELANE","BIFEMELANE","BIFEMELAN"
"N06AX09","VILOXAZINE","VILOXAZINE","VILOXAZIN"
"N06AX10","OXAFLOZANE","OXAFLOZANE","OXAFLOZAN"
"N06AX11","MIRTAZAPINE","MIRTAZAPINE","MIRTAZAPIN"
"N06AX13","MEDIFOXAMINE","MEDIFOXAMINE","MEDIFOXAMIN"
"N06AX14","TIANEPTINE","TIANEPTINE","TIANEPTIN"
"N06AX15","PIVAGABINE","PIVAGABINE","PIVAGABIN"
"N06AX16","VENLAFAXINE","VENLAFAXINE","VENLAFAXIN"
"N06AX17","MILNACIPRAN","MILNACIPRAN","MILNACIPRAN"
"N06AX18","REBOXETINE","REBOXETINE","REBOXETIN"
"N06AX19","GEPIRONE","GEPIRONE","GEPIRON"
"N06AX21","DULOXETINE","DULOXETINE","DULOXETIN"
"N06AX22","AGOMELATINE","AGOMELATINE","AGOMELATIN"
"N06AX23","DESVENLAFAXINE","DESVENLAFAXINE","DESVENLAFAXIN"
"N06B","PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS","PSYCHOSTIMULANTS ET NOOTROPIQUES","PSYCHOSTIMULANZIEN, MITTEL FÜR DIE ADHD UND NOOTROPIKA"
"N06BA","CENTRALLY ACTING SYMPATHOMIMETICS","SYMPATHOMIMETIQUES D'ACTION CENTRALE","ZENTRAL WIRKENDE SYMPATHOMIMETIKA"
"N06BA01","AMFETAMINE","AMPHETAMINE","AMFETAMIN"
"N06BA02","DEXAMFETAMINE","DEXAMPHETAMINE","DEXAMFETAMIN"
"N06BA03","METAMFETAMINE","METAMPHETAMINE","METAMFETAMIN"
"N06BA04","METHYLPHENIDATE","METHYLPHENIDATE","METHYLPHENIDAT"
"N06BA05","PEMOLINE","PEMOLINE","PEMOLIN"
"N06BA06","FENCAMFAMIN","FENCAMFAMINE","FENCAMFAMIN"
"N06BA07","MODAFINIL","MODAFINIL","MODAFINIL"
"N06BA08","FENOZOLONE","FENOZOLONE","FENOZOLON"
"N06BA09","ATOMOXETINE","ATOMOXETINE","ATOMOXETIN"
"N06BA11","DEXMETHYLPHENIDATE","DEXMETHYLPHENIDATE","AMFETAMINIL"
"N06BC","XANTHINE DERIVATIVES","DERIVES DE LA XANTHINE","XANTHIN-DERIVATE"
"N06BC01","CAFFEINE","CAFEINE","COFFEIN"
"N06BC02","PROPENTOFYLLINE","PROPENTOFYLLINE","PROPENTOFYLLIN"
"N06BX","OTHER PSYCHOSTIMULANTS AND NOOTROPICS","AUTRES PSYCHOSTIMULANTS ET NOOTROPIQUES","ANDERE PSYCHOSTIMULANZIEN UND NOOTROPIKA"
"N06BX01","MECLOFENOXATE","MECLOFENOXATE","MECLOFENOXAT"
"N06BX02","PYRITINOL","PYRITINOL","PYRITINOL"
"N06BX03","PIRACETAM","PIRACETAM","PIRACETAM"
"N06BX04","DEANOL","DEANOL","DEANOL"
"N06BX05","FIPEXIDE","FIPEXIDE","FIPEXID"
"N06BX06","CITICOLINE","CITICOLINE","CITICOLIN"
"N06BX07","OXIRACETAM","OXIRACETAM","OXIRACETAM"
"N06BX08","PIRISUDANOL","PIRISUDANOL","PIRISUDANOL"
"N06BX09","LINOPIRDINE","LINOPIRDINE","LINOPIRDIN"
"N06BX10","NIZOFENONE","NIZOFENONE","NIZOFENON"
"N06BX11","ANIRACETAM","ANIRACETAM","ANIRACETAM"
"N06BX12","ACETYLCARNITINE","ACETYLCARNITINE","ACETYLCARNITIN"
"N06BX13","IDEBENONE","IDEBENONE","IDEBENON"
"N06BX14","PROLINTANE","PROLINTANE","PROLINTAN"
"N06BX15","PIPRADROL","PIPRADOL","PIPRADROL"
"N06BX16","PRAMIRACETAM","PRAMIRACETAM","PRAMIRACETAM"
"N06BX17","ADRAFINIL","ADRAFINIL","ADRAFINIL"
"N06BX18","VINPOCETINE","VINPOCETINE","VINPOCETIN"
"N06BX19","GINKGO BILOBA","GINKGO BILOBA","GINKGO BILOBA"
"N06C","PSYCHOLEPTICS AND PSYCHOANALEPTICS IN COMBINATION","PSYCHOLEPTIQUES ET PSYCHOANALEPTIQUES EN ASSOCIATION","PSYCHOLEPTIKA UND PSYCHOANALEPTIKA IN KOMBINATION"
"N06CA","ANTIDEPRESSANTS IN COMBINATION WITH PSYCHOLEPTICS","ANTIDEPRESSEURS EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES","ANTIDEPRESSIVA IN KOMBINATION MIT PSYCHOLEPTIKA"
"N06CA01","AMITRIPTYLINE AND PSYCHOLEPTICS","AMITRIPTYLINE ET PSYCHOLEPTIQUES","AMITRIPTYLIN UND PSYCHOLEPTIKA"
"N06CA02","MELITRACEN AND PSYCHOLEPTICS","MELITRACEN ET PSYCHOLEPTIQUES","MELITRACEN UND PSYCHOLEPTIKA"
"N06CB","PSYCHOSTIMULANTS IN COMBINATION WITH PSYCHOLEPTICS","PSYCHOSTIMULANTS EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES","PSYCHOSTIMULANZIEN IN KOMBINATION MIT PSYCHOLEPTIKA"
"N06D","ANTI-DEMENTIA DRUGS","MEDICAMENTS CONTRE LA DEMENCE","ANTIDEMENTIVA"
"N06DA","ANTICHOLINESTERASES","ANTICHOLINESTERASIQUES","CHOLINESTERASEHEMMER"
"N06DA01","TACRINE","TACRINE","TACRIN"
"N06DA02","DONEPEZIL","DONEPEZIL","DONEPEZIL"
"N06DA03","RIVASTIGMINE","RIVASTIGMINE","RIVASTIGMIN"
"N06DA04","GALANTAMINE","GALANTAMINE","GALANTAMIN"
"N06DX","OTHER ANTI-DEMENTIA DRUGS","AUTRES MEDICAMENTS CONTRE LA DEMENCE","ANDERE ANTIDEMENTIVA"
"N06DX01","MEMANTINE","MEMANTINE","MEMANTIN"
"N06DX02","GINKGO BILOBA","GINKGO BILOBA","GINKGO BILOBA"
"N07","OTHER NERVOUS SYSTEM DRUGS","AUTRES MEDICAMENTS DU SYSTEME NERVEUX","ANDERE MITTEL FÜR DAS NERVENSYSTEM"
"N07A","PARASYMPATHOMIMETICS","PARASYMPATHOMIMETIQUES","PARASYMPATHOMIMETIKA"
"N07AA","ANTICHOLINESTERASES","ANTICHOLINESTERASIQUES","CHOLINESTERASEHEMMER"
"N07AA01","NEOSTIGMINE","NEOSTIGMINE","NEOSTIGMIN"
"N07AA02","PYRIDOSTIGMINE","PYRIDOSTIGMINE","PYRIDOSTIGMIN"
"N07AA03","DISTIGMINE","DISTIGMINE","DISTIGMIN"
"N07AA30","AMBENONIUM","AMBENONIUM","AMBENONIUM"
"N07AA51","NEOSTIGMINE, COMBINATIONS","NEOSTIGMINE EN ASSOCIATION","NEOSTIGMIN, KOMBINATIONEN"
"N07AB","CHOLINE ESTERS","ESTERS DE LA CHOLINE","CHOLINESTER"
"N07AB01","CARBACHOL","CARBACHOL","CARBACHOL"
"N07AB02","BETHANECHOL","BETHANECHOL","BETHANECHOL"
"N07AX","OTHER PARASYMPATHOMIMETICS","AUTRES PARASYMPATHOMIMETIQUES","ANDERE PARASYMPATHOMIMETIKA"
"N07AX01","PILOCARPINE","PILOCARPINE","PILOCARPIN"
"N07AX02","CHOLINE ALFOSCERATE","CHOLINE ALFOSCERATE","CHOLINALFOSCERAT"
"N07AX03","CEVIMELINE","CEVIMELINE","CEVIMELIN"
"N06AX12","BUPROPION","BUPROPION","BUPROPION"
"N07B","DRUGS USED IN ADDICTIVE DISORDERS","MEDICAMENTS UTILISES DANS LES TROUBLES TOXICOMANOGENES","MITTEL ZUR BEHANDLUNG VON SUCHTERKRANKUNGEN"
"N07BA","DRUGS USED IN NICOTINE DEPENDENCE","MEDICAMENTS UTILISES DANS LA DEPENDANCE TABAGIQUE","MITTEL ZUR BEHANDLUNG DER NIKOTINABHÄNGIGKEIT"
"N07BA01","NICOTINE","NICOTINE","NICOTIN"
"N07BA03","VARENICLINE","VARENICLINE","VARENICLINE"
"N07BB","DRUG USED IN ALCOHOL DEPENDENCE","MEDICAMENTS UTILISES DANS LA DEPENDANCE ALCOOLIQUE","MITTEL ZUR BEHANDLUNG DER ALKOHOLABHÄNGIGKEIT"
"N07BB01","DISULFIRAM","DISULFIRAM","DISULFIRAM"
"N07BB02","CALCIUM CARBIMIDE","CARBIMIDE CALCIQUE","CALCIUM CARBIMID"
"N07BB03","ACAMPROSATE","ACAMPROSATE","ACAMPROSAT"
"N07BB04","NALTREXONE","NALTREXONE","NALTREXON"
"N07BC","DRUGS USED IN OPIOID DEPENDENCE","MEDICAMENTS UTILISES DANS LA DEPENDANCE OPIOIDE","MITTEL ZUR BEHANDLUNG DER OPIATABHÄNGIGKEIT"
"N07BC01","BUPRENORPHINE","BUPRENORPHINE","BUPRENORPHIN"
"N07BC02","METHADONE","METHADONE","METHADON"
"N07BC03","LEVACETYLMETHADOL","LEVACETYLMETHADOL","LEVACETYLMETHADOL"
"N07BC04","LOFEXIDINE","LOFEXIDINE","LOFEXIDIN"
"N07BC51","BUPRENORPHIN, COMBINATIONS","BUPRENORPHINE EN ASSOCIATION","BUPRENORPHIN, KOMBINATIONEN"
"N07C","ANTIVERTIGO PREPARATIONS","ANTIVERTIGINEUX","ANTIVERTIGINOSA"
"N07CA","ANTIVERTIGO PREPARATIONS","MEDICAMENTS ANTIVERTIGINEUX","ANTIVERTIGINOSA"
"N07CA01","BETAHISTINE","BETAHISTINE","BETAHISTIN"
"N07CA02","CINNARIZINE","CINNARIZINE","CINNARIZIN"
"N07CA03","FLUNARIZINE","FLUNARIZINE","FLUNARIZIN"
"N07CA04","ACETYLLEUCINE","ACETYLLEUCINE","ACETYLLEUCIN"
"N07CA52","CINNARIZINE, COMBINATIONS","CINNARIZINE EN ASSOCIATION","CINNARIZIN, KOMBINATIONEN"
"N07X","OTHER NERVOUS SYSTEM DRUGS","AUTRES MEDICAMENTS DU SYSTEME NERVEUX","ANDERE MITTEL FÜR DAS NERVENSYSTEM"
"N07XA","GANGLIOSIDES AND GANGLIOSIDE DERIVATIVES","GANGLIOSIDES ET DERIVES","GANGLIOSIDE UND GANGLIOSID-DERIVATE"
"N07XX","OTHER NERVOUS SYSTEM DRUGS","AUTRE MEDICAMENT DU SYSTEME NERVEUX","ANDERE MITTEL FÜR DAS NERVENSYSTEM"
"N07XX01","TIRILAZAD","TIRILAZAD","TIRILAZAD"
"N07XX02","RILUZOLE","RILUZOLE","RILUZOL"
"N07XX03","XALIPRODEN","XALIPRODENE","XALIPRODEN"
"N07XX04","SODIUM OXYBATE","OXYBATE DE SODIUM","NATRIUM-OXYBAT"
"N07XX05","AMIFAMPRIDINE","AMIFAMPRIDINE","AMIFAMPRIDIN"
"N07XX06","TETRABENAZINE","TETRABENAZINE","TETRABENAZIN"
"P","ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","ANTIPARASITAIRES, INSECTICIDES","ANTIPARASITÄRE MITTEL, INSEKTIZIDE UND REPELLENZIEN"
"P01","ANTIPROTOZOALS","ANTIPROTOZOAIRES","MITTEL GEGEN PROTOZOEN-ERKRANKUNGEN"
"P01A","AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES","MEDICAMENTS CONTRE L'AMIBIASE ET AUTRES PROTOZOOSES","MITTEL GEGEN AMÖBEN UND ANDERE PROTOZOEN-ERKRANKUNGEN"
"P01AA","HYDROXYQUINOLINE DERIVATIVES","DERIVES DE L'HYDROXYQUINOLINE","HYDROXYCHINOLIN-DERIVATE"
"P01AA01","BROXYQUINOLINE","BROXYQUINOLINE","BROXYCHINOLIN"
"P01AA02","CLIOQUINOL","CLIOQUINOL","CLIOQUINOL"
"P01AA04","CHLORQUINALDOL","CHLORQUINALDOL","CHLORQUINALDOL"
"P01AA05","TILBROQUINOL","TILBROQUINOL","TILBROQUINOL"
"P01AA52","CLIOQUINOL, COMBINATIONS","CLIOQUINOL EN ASSOCIATION","CLIOQUINOL, KOMBINATIONEN"
"P01AB","NITROIMIDAZOLE DERIVATIVES","DERIVES DU NITROIMIDAZOLE","NITROIMIDAZOL-DERIVATE"
"P01AB01","METRONIDAZOLE","METRONIDAZOLE","METRONIDAZOL"
"P01AB02","TINIDAZOLE","TINIDAZOLE","TINIDAZOL"
"P01AB03","ORNIDAZOLE","ORNIDAZOLE","ORNIDAZOL"
"P01AB04","AZANIDAZOLE","AZANIDAZOLE","AZANIDAZOL"
"P01AB05","PROPENIDAZOLE","PROPENIDAZOLE","PROPENIDAZOL"
"P01AB06","NIMORAZOLE","NIMORAZOLE","NIMORAZOL"
"P01AB07","SECNIDAZOLE","SECNIDAZOLE","SECNIDAZOL"
"P01AC","DICHLOROACETAMIDE DERIVATIVES","DERIVES DU DICHLOROACETAMIDE","DICHLORACETAMID-DERIVATE"
"P01AC01","DILOXANIDE","DILOXANIDE","DILOXANID"
"P01AC02","CLEFAMIDE","CLEFAMIDE","CLEFAMID"
"P01AC03","ETOFAMIDE","ETOFAMIDE","ETOFAMID"
"P01AC04","TECLOZAN","TECLOSAN","TECLOSAN"
"P01AR","ARSENIC COMPOUNDS","MEDICAMENTS A BASE D'ARSENIC","ARSEN-HALTIGE VERBINDUNGEN"
"P01AR01","ARSTHINOL","ARSTHINOL","ARSTHINOL"
"P01AR02","DIFETARSONE","DIFETARSONE","DIFETARSON"
"P01AR03","GLYCOBIARSOL","GLYCOBIARSOL","GLYCOBIARSOL"
"P01AR53","GLYCOBIARSOL, COMBINATIONS","GLYCOBIARSOL EN ASSOCIATION","GLYCOBIARSOL, KOMBINATIONEN"
"P01AX","OTHER AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES","AUTRES MEDICAMENTS CONTRE L'AMIBIASE ET AUTRES PROTOZOOSES","ANDERE MITTEL GEGEN AMÖBIASIS UND ANDERE PROTOZOEN-ERKRANKUNGEN"
"P01AX01","CHINIOFON","CHINIOFON","CHINIOFON"
"P01AX02","EMETINE","EMETINE","EMETIN"
"P01AX04","PHANQUINONE","PHANQUINONE","PHANQUINON"
"P01AX05","MEPACRINE","MEPACRINE","MEPACRIN"
"P01AX06","ATOVAQUONE","ATOVAQUONE","ATOVAQUON"
"P01AX07","TRIMETREXATE","TRIMETREXATE","TRIMETREXAT"
"P01AX08","TENONITROZOLE","TENONITROZOLE","TENONITROZOL"
"P01AX09","DIHYDROEMETINE","DIHYDROEMETINE","DEHYDROEMETIN"
"P01AX52","EMETINE, COMBINATIONS","EMETINE EN ASSOCIATION","EMETIN, KOMBINATIONEN"
"P01B","ANTIMALARIALS","ANTIPALUDEENS","MALARIAMITTEL"
"P01BA","AMINOQUINOLINES","AMINOQUINOLEINES","AMINOCHINOLINE"
"P01BA01","CHLOROQUINE","CHLOROQUINE","CHLOROQUIN"
"P01BA02","HYDROXYCHLOROQUINE","HYDROXYCHLOROQUINE","HYDROXYCHLOROQUIN"
"P01BA03","PRIMAQUINE","PRIMAQUINE","PRIMAQUIN"
"P01BA06","AMODIAQUINE","AMODIAQUINE","AMODIAQUIN"
"P01BB","BIGUANIDES","BIGUANIDES","BIGUANIDE"
"P01BB01","PROGUANIL","PROGUANIL","PROGUANIL"
"P01BB02","CYCLOGUANIL EMBONATE","CYCLOGUANIL EMBONATE","CYCLOGUANILEMBONAT"
